Unnamed: 0,term,pos,definition,domain,plural,plurality_of_term,obsolete,archaic,abbreviation,abbreviation_for_term,slang,misspelling,misspelling_for_term,initialism,initialism_for_term,vulgar,synonym,synonym_for_term,attribute,property,process,matter,role,measure,units,body,main_noun_nltk,main_noun_maria,field,disease
15882,deplumation,Noun,"A disease of the eyelids, attended with loss of the eyelashes. (Can we find and add a quotation of Thomas to this entry?)",medicine,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
16522,depurative,Noun,Any disease that is depurative.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
17212,dermatomyositis,Noun,"A disease of connective tissue, related to polymyositis, characterized by inflammation of the muscles and skin. 2007 March 27, Roni Caryn Rabin, An Elusive Diagnosis, and One That Comes With a Risk of Cancer, in New York Times[1]:Melissa Leonard, 25, of Easton, Md., suffered her first symptoms of dermatomyositis at 19.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
17226,dermatopathy,Noun,any disease of the skin,pathology,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
17252,dermatosis,Noun,Any disease of the skin.,medicine,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
17320,dermopathy,Noun,"disease of the skin 2015, Sujay Khandpur et al., D-penicillamine Induced Degenerative Dermopathy, in Indian Journal of Dermatology[1], volume 60, DOI:10.4103/0019-5154.160498:D-Penicillamine-induced degenerative dermopathy can manifest as a combination of manifestations of skin fragility over bony prominences and pressure areas and cutis laxa-like features, as was seen in one of our case.",pathology,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
21770,diabetes insipidus,Noun,"A disease characterized by excretion of large amount of severely diluted urine, which cannot be reduced when fluid intake is reduced. It is generally related to a tumor or insult to the pituitary gland, where the hormonal signals the pituitary gives to the kidneys break down, and the kidneys do not conserve water, but express all water as urine. This is a rather rare disease.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
23861,dichuchwa,Noun,The disease bejel.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
28358,diphtheria,Noun,"A highly infectious disease of the upper respiratory tract characterised by a sore throat, fever, and difficulty breathing, its symptoms being due to a potent toxin excreted by the infecting agent Corynebacterium diphtheriae.",pathology,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
30902,discopathy,Noun,Any disease of an intervertebral disc,pathology,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
35058,distemper,Noun,"A viral disease of animals, such as dogs and cats, characterised by fever, coughing and catarrh.","veterinary medicine, pathology",False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
50914,dynapenia,Noun,A neurological disease characterised by loss of muscle strength,pathology,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
51089,dysentery,Noun,"A disease characterised by inflammation of the intestines, especially the colon (large intestine), accompanied by pus (white blood cells) in the feces, fever, pain in the abdomen, high volume of diarrhea, and possible blood in the feces. 1959, Tom Lehrer (music), In Old Mexico:We ate, we drank, and we were merry / and we got typhoid and dystentery.",pathology,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
51544,dystroglycanopathy,Noun,Any disease associated with dystroglycan.,pathology,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
204,zamia staggers,Noun,"A fatal nervous disease affecting cattle that have browsed on the leaves or fruit of cycads, especially those of the genus Zamia, and leading to irreversible paralysis of the hind legs because of the degeneration of the spinal cord.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
1304,zika,Noun,"The disease caused by the Zika virus. 2016 January 13, Jessica Glenza, First case of tropical zika virus linked to serious birth defect found in Texas, in The Guardian[1]:Dr Umair A Shah, executive director of the Harris County department of public health, said, Its probably not a case of if we get zika in our native mosquitoes, its probably a case of when we get zika in our native mosquitoes.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
2555,zoonosis,Noun,"An animal disease, such as rabies or anthrax, that can be transmitted to humans. 2013 January 1, Katie L. Burke, Ecological Dependency, in American Scientist[1], volume 101, number 1, page 64:In his first book since the 2008 essay collection Natural Acts: A Sidelong View of Science and Nature, David Quammen looks at the natural world from yet another angle: the search for the next human pandemic, what epidemiologists call the next big one. His quest leads him around the world to study a variety of suspect zoonosesanimal-hosted pathogens that infect humans.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
2840,zoster,Noun,The disease called herpes zoster (from the typically beltlike pattern of its rash); shingles.,"uncountable, medicine",False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
3355,zymosis,Noun,A zymotic disease.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
2091,ochlesis,Noun,"Crowd-poisoning; a disease occasioned or aggravated by overcrowding, especially due to lack of ventilation.",medicine,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,Crowd-poisoning,disease,False,True
3244,odontopathy,Noun,Any disease that affects the teeth,pathology,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
5671,oligodendrogliopathy,Noun,Any disease due to the presence of a oligodendroglioma,pathology,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
5672,oligodendrogliosis,Noun,Any disease that affects the oligodendroglion,pathology,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
5676,oligodendropathy,Noun,Any disease that affects oligodendrocytes,pathology,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
6966,onchocerciasis,Noun,"A disease caused by a worm of the genus Onchocerca, especially as transmitted to humans by flies and often causing blindness; common in tropical Africa.",medicine,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
7052,oncome,Noun,"A mysterious disease or ailment. 1858, Sir Walter Scott, The bride of Lammermoor: This woman had acquired a considerable reputation among the ignorant by the pretended cures which she performed, especially in oncomes, as the Scotch call them, or mysterious diseases, which baffle the regular physician.",dialectal,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
8169,onychopathy,Noun,A disease of the fingernails or toenails.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
8180,onychosis,Noun,Any disease or disorder of the fingernails or toenails,pathology,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
9753,opisthorchiasis,Noun,A parasitic disease caused by trematodes in the genus Opisthorchis.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
10916,orbitopathy,Noun,disease of the orbit around the eye,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
